year,total_articles,kolera,cholera
1830,87142,2,124
1831,92587,24,1712
1832,95859,14,1359
1833,94561,4,460
1834,95392,2,397
1835,100776,3,133
1836,107913,2,168
1837,101883,3,298
1838,102325,1,37
1839,97931,0,10
1840,111141,2,8
1841,114295,1,14
1842,134953,1,31
1843,121856,0,18
1844,111087,1,32
1845,142445,3,77
1846,149953,12,104
1847,160082,25,264
1848,160119,109,527
1849,166075,75,510
1850,172939,59,624
1851,199217,32,269
1852,226865,35,264
1853,224897,951,3161
1854,237286,159,1272
1855,253060,115,613
1856,270437,28,484
1857,292611,204,687
1858,319745,35,155
1859,317357,65,322
1860,321263,29,76
1861,343568,16,50
1862,355256,23,39
1863,379298,34,62
1864,360761,15,17
1865,398158,403,343
1866,440161,769,531
1867,480894,383,291
1868,527714,277,188
1869,562188,66,67
1870,554975,171,70
1871,592300,784,248
1872,676947,671,147
1873,730898,1852,336
1874,830222,355,71
1875,875081,290,57
1876,937750,548,93
1877,991594,752,63
1878,1055554,801,90
1879,1105136,1067,99
1880,1168754,942,63
1881,1134664,955,92
1882,1254368,962,94
1883,1384438,2682,351
1884,1463039,7892,736
1885,1478375,3510,329
1886,1489328,1473,213
1887,1534135,910,210
1888,1556697,437,62
1889,1698419,917,170
1890,1778578,2513,299
1891,1811142,833,178
1892,1904110,14204,1503
1893,1940234,8208,656
1894,1953033,4743,361
1895,1995500,2265,169
1896,2035689,1266,194
1897,2121180,967,65
1898,2233017,857,57
1899,2288244,673,52
1900,2318834,767,71
